"density","porosity","avg cell strain:0","avg cell strain:1","avg cell strain:2","E-Modul","Poissons ratio","Cell Type"
0.001,0.64832,2.7299e-05,-8.2203e-06,-2.1218e-06,0.00015092,0.3,	
0.001,0.65124,2.8242e-05,-8.5044e-06,-2.0597e-06,0.00015141,0.3,	
0.001,0.65413,2.9151e-05,-8.7786e-06,-1.9958e-06,0.00015189,0.3,	
0.001,0.65696,3.0027e-05,-9.0426e-06,-1.93e-06,0.00015237,0.3,	
0.001,0.65973,3.0869e-05,-9.2965e-06,-1.8622e-06,0.00015284,0.3,	
0.001,0.66244,3.1676e-05,-9.54e-06,-1.7927e-06,0.00015329,0.3,	
0.001,0.66506,3.2449e-05,-9.7731e-06,-1.7214e-06,0.00015373,0.3,	
0.001,0.66761,3.3187e-05,-9.9956e-06,-1.6484e-06,0.00015416,0.3,	
0.001,0.67007,3.3889e-05,-1.0208e-05,-1.5737e-06,0.00015457,0.3,	
0.001,0.67243,3.4556e-05,-1.0409e-05,-1.4975e-06,0.00015497,0.3,	
0.001,0.67468,3.5187e-05,-1.0599e-05,-1.4198e-06,0.00015535,0.3,	
0.001,0.67683,3.5783e-05,-1.0779e-05,-1.3407e-06,0.00015571,0.3,	
0.001,0.67887,3.6342e-05,-1.0947e-05,-1.2603e-06,0.00015605,0.3,	
0.001,0.6808,3.6864e-05,-1.1105e-05,-1.1786e-06,0.00015637,0.3,	
0.001,0.6826,3.735e-05,-1.1252e-05,-1.0958e-06,0.00015668,0.3,	
0.001,0.68428,3.7799e-05,-1.1387e-05,-1.012e-06,0.00015696,0.3,	
0.001,0.68582,3.8212e-05,-1.1512e-05,-9.2717e-07,0.00015722,0.3,	
0.001,0.68724,3.8587e-05,-1.1625e-05,-8.4149e-07,0.00015746,0.3,	
0.001,0.68853,3.8925e-05,-1.1727e-05,-7.5502e-07,0.00015767,0.3,	
0.001,0.68967,3.9225e-05,-1.1818e-05,-6.6784e-07,0.00015787,0.3,	
0.001,0.69068,3.9489e-05,-1.1897e-05,-5.8004e-07,0.00015803,0.3,	
0.001,0.69155,3.9714e-05,-1.1965e-05,-4.9171e-07,0.00015818,0.3,	
0.001,0.69227,3.9903e-05,-1.2022e-05,-4.0292e-07,0.0001583,0.3,	
0.001,0.69286,4.0053e-05,-1.2067e-05,-3.1377e-07,0.0001584,0.3,	
0.001,0.69329,4.0166e-05,-1.2101e-05,-2.2432e-07,0.00015847,0.3,	
0.001,0.69359,4.0242e-05,-1.2124e-05,-1.3468e-07,0.00015852,0.3,	
0.001,0.69373,4.0279e-05,-1.2136e-05,-4.4906e-08,0.00015855,0.3,	
0.001,0.69373,4.0279e-05,-1.2136e-05,4.4906e-08,0.00015855,0.3,	
0.001,0.69359,4.0242e-05,-1.2124e-05,1.3468e-07,0.00015852,0.3,	
0.001,0.69329,4.0166e-05,-1.2101e-05,2.2432e-07,0.00015847,0.3,	
0.001,0.69286,4.0053e-05,-1.2067e-05,3.1377e-07,0.0001584,0.3,	
0.001,0.69227,3.9903e-05,-1.2022e-05,4.0292e-07,0.0001583,0.3,	
0.001,0.69155,3.9714e-05,-1.1965e-05,4.9171e-07,0.00015818,0.3,	
0.001,0.69068,3.9489e-05,-1.1897e-05,5.8004e-07,0.00015803,0.3,	
0.001,0.68967,3.9225e-05,-1.1818e-05,6.6784e-07,0.00015787,0.3,	
0.001,0.68853,3.8925e-05,-1.1727e-05,7.5502e-07,0.00015767,0.3,	
0.001,0.68724,3.8587e-05,-1.1625e-05,8.4149e-07,0.00015746,0.3,	
0.001,0.68582,3.8212e-05,-1.1512e-05,9.2717e-07,0.00015722,0.3,	
0.001,0.68428,3.7799e-05,-1.1387e-05,1.012e-06,0.00015696,0.3,	
0.001,0.6826,3.735e-05,-1.1252e-05,1.0958e-06,0.00015668,0.3,	
0.001,0.6808,3.6864e-05,-1.1105e-05,1.1786e-06,0.00015637,0.3,	
0.001,0.67887,3.6342e-05,-1.0947e-05,1.2603e-06,0.00015605,0.3,	
0.001,0.67683,3.5783e-05,-1.0779e-05,1.3407e-06,0.00015571,0.3,	
0.001,0.67468,3.5187e-05,-1.0599e-05,1.4198e-06,0.00015535,0.3,	
0.001,0.67243,3.4556e-05,-1.0409e-05,1.4975e-06,0.00015497,0.3,	
0.001,0.67007,3.3889e-05,-1.0208e-05,1.5737e-06,0.00015457,0.3,	
0.001,0.66761,3.3187e-05,-9.9956e-06,1.6484e-06,0.00015416,0.3,	
0.001,0.66506,3.2449e-05,-9.7731e-06,1.7214e-06,0.00015373,0.3,	
0.001,0.66244,3.1676e-05,-9.54e-06,1.7927e-06,0.00015329,0.3,	
0.001,0.65973,3.0869e-05,-9.2965e-06,1.8622e-06,0.00015284,0.3,	
0.001,0.65696,3.0027e-05,-9.0426e-06,1.93e-06,0.00015237,0.3,	
0.001,0.65413,2.9151e-05,-8.7786e-06,1.9958e-06,0.00015189,0.3,	
0.001,0.65124,2.8242e-05,-8.5044e-06,2.0597e-06,0.00015141,0.3,	
0.001,0.64832,2.7299e-05,-8.2203e-06,2.1218e-06,0.00015092,0.3,	
0.001,0.64536,2.6323e-05,-7.9263e-06,2.182e-06,0.00015042,0.3,	
