Point ID,density,E-Modul,Poissons ratio,porosity
14418,1,205379,0.3,0.972494
14419,1,209504,0.3,0.997046
14420,1,210000,0.3,1
14421,1,210000,0.3,1
14422,1,210000,0.3,1
14423,1,210000,0.3,1
14424,1,210000,0.3,1
14425,1,209577,0.3,0.997483
14426,1,206430,0.3,0.97875
14427,1,200572,0.3,0.943883
14428,1,194373,0.3,0.906981
14429,1,188827,0.3,0.873973
14430,1,193984,0.3,0.904667
14431,1,205810,0.3,0.975059
14432,0.912156,163525,0.3,0.999879
14433,0.624907,61534.1,0.3,0.997434
14434,0.288818,3040.55,0.3,0.951189
14435,0.087965,31.4395,0.3,0.846652
14436,0.012398,0.00996174,0.3,0.767417
14437,0.001,0.000166162,0.3,0.73906
14438,0.001,0.000163581,0.3,0.723694
14439,0.001,0.00016212,0.3,0.714997
14440,0.001,0.000161334,0.3,0.710321
14441,0.001,0.000160977,0.3,0.708193
14442,0.001,0.000160957,0.3,0.708077
14443,0.001,0.000161247,0.3,0.709804
14444,0.001,0.000161864,0.3,0.713474
14445,0.001,0.000163148,0.3,0.721119
14446,0.001,0.000165913,0.3,0.737578
14447,0.001,0.000171423,0.3,0.770375
14448,0.001,0.000181155,0.3,0.828304
14449,0.001,0.000191065,0.3,0.88729
14450,0.001,0.000199018,0.3,0.93463
14451,0.001,0.000204046,0.3,0.964558
14452,0.001,0.0002038,0.3,0.963093
14453,0.001,0.000201268,0.3,0.948023
14454,0.00532189,0.000297381,0.3,0.930419
14455,0.0347977,1.13115,0.3,0.910763
14456,0.117615,93.8266,0.3,0.89093
14457,0.268212,1953.3,0.3,0.875989
14458,0.483079,18697.2,0.3,0.875066
14459,0.72015,72839.1,0.3,0.891356
14460,0.91036,147701,0.3,0.91245
14461,0.992716,189851,0.3,0.920151
14462,1,194717,0.3,0.909027
14463,1,192358,0.3,0.89499
14464,1,191779,0.3,0.891542
14465,1,193312,0.3,0.900669
14466,1,197230,0.3,0.923987
14467,1,202268,0.3,0.953978
14468,0.948646,170844,0.3,0.976168
14469,0.813172,112125,0.3,0.981401
14470,0.590539,49361.9,0.3,0.97707
14471,0.343847,6096.83,0.3,0.979539
14472,0.161863,390.057,0.3,0.978988
14473,0.055918,7.97677,0.3,0.941039
14474,0.0123898,0.0116261,0.3,0.864047
14475,0.001,0.000176881,0.3,0.802865
14476,0.001,0.000173333,0.3,0.781744
14477,0.001,0.000172516,0.3,0.776877
14478,0.001,0.000172697,0.3,0.777959
14479,0.001,0.000173018,0.3,0.779871
14480,0.001,0.000192438,0.3,0.895462
14481,0.001,0.00018717,0.3,0.864107
14482,0.001,0.000180039,0.3,0.821661
14483,0.006231,0.000424621,0.3,0.828077
14484,0.0341019,0.940869,0.3,0.884838
14485,0.10876,83.0415,0.3,0.958946
14486,0.251444,1912.08,0.3,0.991179
14487,0.464799,19407.5,0.3,0.988352
14488,0.704468,75729.8,0.3,0.987921
14489,0.899982,151446,0.3,0.985617
14490,0.989259,194578,0.3,0.969649
14491,1,199115,0.3,0.935209
14492,1,193441,0.3,0.901432
14493,1,190301,0.3,0.882742
14494,1,189719,0.3,0.879281
14495,1,191446,0.3,0.889558
